,Dataset: KELLEY-1977,,,,,,,
,Data From (Title): Quality-Quantity Tradeoffs: A Historical,,,,,,,
,,Analysis of Air Combat. ,,,,,,
,"Author: Kelley, C.T., et al.",,,,,,,
,Organization: The RAND Corporation.,,,,,,,
,"Address: Santa Monica, CA.",,,,,,,
,Publication Date: April 1977.,,,,,,,
,Classification: UNCLASSIFIED.,,,,,,,
,Source Available From: DTIC as AD-C010 504.,,,,,,,
,"Prepared By: Dr. Robert L. Helmbold, US Army Concepts Analysis Agency",,,,,,,
,Spreadsheet last revised: 30 October 1993,,,,,,,
-,-,-,-,-,-,-,-,-
,,,,,,,,
,"Korean Combat Data, Based on Fifth Air Force Intelligence Summaries.",,,,,,,
,,,,,,,,
-,-,-,-,-,-,,,
,,No. of Aircraft,,Aircraft Losses,,,,
No.,Date,US,NK,US,NK,,,
-,-,-,-,-,-,,,
143,05/25/1952,12,7,1,1.5,,,
144,05/27/1952,2,2,0,1,,,
145,05/28/1952,8,14,0.5,0,,,
146,05/31/1952,4,9,0,2,,,
147,05/31/1952,4,1,0,0,,,
148,06/06/1952,28,34,0.5,8,,,
149,06/11/1952,12,9,0,3,,,
150,06/15/1952,8,7,0,3,,,
151,06/20/1952,6,11,0,0,,,
152,06/21/1952,4,4,0,1,,,
153,06/21/1952,4,6,1,0,,,
154,06/21/1952,2,1,0,1,,,
155,06/24/1952,2,5,0.5,0,,,
156,06/25/1952,4,24,0,1,,,
157,06/25/1952,1,1,0,0,,,
158,06/25/1952,1,4,0,0.5,,,
159,06/27/1952,2,2,0,1,,,
160,07/04/1952,38,43,2.5,13.5,,,
161,07/11/1952,8,17,0,0.5,,,
162,07/11/1952,10,12,0,1,,,
163,07/12/1952,19,26,1.5,1.5,,,
164,07/14/1952,6,7,0,0.5,,,
165,07/16/1952,2,2,1,0,,,
166,07/16/1952,5,23,0,1,,,
167,07/20/1952,13,14,1,1.5,,,
168,07/22/1952,1,2,0,0,,,
169,07/23/1952,5,3,0,0.5,,,
170,08/01/1952,29,84,3,5,,,
171,08/04/1952,5,4,0.5,1.5,,,
172,08/04/1952,12,8,0,0.5,,,
173,08/05/1952,30,41,0,7,,,
174,08/06/1952,4,11,0.5,0,,,
175,08/06/1952,34,52,0.5,6.5,,,
176,08/06/1952,14,23,0,0.5,,,
177,08/07/1952,4,4,0,0,,,
178,08/07/1952,29,40,0.5,3,,,
179,08/07/1952,6,20,0,2,,,
180,08/07/1952,2,3,0,0.5,,,
181,08/08/1952,4,3,0,1,,,
182,08/08/1952,12,18,0,2,,,
183,08/09/1952,16,20,0,1,,,
184,08/10/1952,4,4,0,0,,,
185,08/11/1952,4,4,0,0.5,,,
186,08/19/1952,2,6,0.5,0,,,
187,08/20/1952,14,14,0,3,,,
188,08/21/1952,4,6,0,1,,,
189,08/22/1952,4,2,1,0,,,
190,08/22/1952,26,21,0,1,,,
191,08/29/1952,8,11,0,0,,,
192,08/29/1952,8,15,0.5,1.5,,,
193,08/30/1952,8,4,0,0.5,,,
194,08/30/1952,35,47,0,9,,,
195,09/01/1952,12,20,0,0,,,
196,09/01/1952,10,8,0,1,,,
197,09/04/1952,7,9,1,0.5,,,
198,09/04/1952,32,64,3.5,12,,,
199,09/05/1952,14,10,0,2,,,
200,09/05/1952,8,12,0.5,1.5,,,
201,09/06/1952,8,17,0.5,0,,,
202,09/07/1952,4,20,0,0.5,,,
203,09/07/1952,22,28,0,4,,,
204,09/08/1952,14,14,0,4.5,,,
205,09/08/1952,22,21,0,4,,,
206,09/09/1952,8,4,0,0.5,,,
207,09/12/1952,10,12,0,0.5,,,
208,09/12/1952,6,6,0,0,,,
209,09/14/1952,10,19,0,1.5,,,
210,09/14/1952,22,22,1.5,2,,,
211,09/15/1952,40,43,1,9.5,,,
212,09/16/1952,30,37,1,4,,,
213,09/16/1952,16,19,0,2.5,,,
214,09/17/1952,22,27,0,1,,,
215,09/18/1952,8,8,0,0,,,
216,09/20/1952,4,3,0,0,,,
217,09/21/1952,3,4,0,0,,,
218,09/22/1952,6,4,0,1,,,
219,09/26/1952,6,4,0,0,,,
220,09/26/1952,16,37,0,5.5,,,
221,09/27/1952,8,5,0,0,,,
222,09/28/1952,22,26,0,4,,,
223,09/28/1952,21,23,1,1.5,,,
224,09/29/1952,32,36,0.5,0.5,,,
225,09/29/1952,4,10,0,2.5,,,
226,09/30/1952,4,10,0,0.5,,,
227,10/02/1952,6,6,0,2,,,
228,10/03/1952,14,26,0,3,,,
229,10/03/1952,10,27,0,2,,,
230,10/04/1952,20,18,0,4.5,,,
231,10/04/1952,2,2,0,0,,,
232,10/05/1952,2,2,0,0,,,
233,10/06/1952,10,19,0,1,,,
234,10/06/1952,18,22,1,1,,,
