,Dataset: Berndt-1993,,,,,,,,,,,,,,,,
,Data From (Title): Die Zahl im Kriege: Statistiche,,,,,,,,,,,,,,,,
,,Daten aus der Neuren Kriegsgeschichte in Graphischer,,,,,,,,,,,,,,,
,,Darstellung.,,,,,,,,,,,,,,,
,"Author: Berndt, Otto.",,,,,,,,,,,,,,,,
,"Organization: G. Freytag & Berndt, publishers.",,,,,,,,,,,,,,,,
,"Address: Vienna, Austria.",,,,,,,,,,,,,,,,
,Publication Date: 1897.,,,,,,,,,,,,,,,,
,Classification: UNCLASSIFIED.,,,,,,,,,,,,,,,,
,Source Available From: Libraries.,,,,,,,,,,,,,,,,
,"Prepared By: Dr. Robert L. Helmbold, US Army Concepts Analysis Agency",,,,,,,,,,,,,,,,
,Spreadsheet Last Revised: 30 October 1993,,,,,,,,,,,,,,,,
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,Initial,Initial,Victor,,,Loser,,,,,
,,,,,,,Victor,Loser,Bloody,Victor,Victor,Bloody,Loser,Loser,Battle,Winner,Loser
Seq.,Battle,Start,Start,Start ,Victor,Loser,Strength,Strength,Losses,CMIA,Total,Losses,CMIA,Total,Duration,Bloody,Bloody
No.,Name,Year,Month,Day,ID,ID,(V0),(L0),Cv,Losses,Losses,Cl,Losses,Losses,(Hours),Fraction,Fraction
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,Custozza,1848,7,25,Austria,Piedmont,55000,75000,900,420,1320,870,270,1140,10,0.0163636363636364,0.0116
46,Mortara,1849,3,21,Austria,Piedmont,15960,25240,??,??,190,550,2000,2550,2.5,#VALUE!,0.0217908082408875
47,Novara,1849,3,23,Austria,Sardinia,41000,60000,2260,960,3220,2940,5330,8270,9,0.0551219512195122,0.049
48,Komorn,1849,7,11,Austria,Hungary,34000,50000,800,??,#VALUE!,1200,300,1500,6,0.0235294117647059,0.024
49,Temesvar,1849,8,8,Austria,Hungary,28000,54000,200,??,#VALUE!,400,6000,6400,7,0.00714285714285714,0.00740740740740741
50,Alma,1854,9,20,Allies,Russia,57000,33600,4310,??,#VALUE!,5065,735,5800,3.5,0.0756140350877193,0.150744047619048
51,Inkermann,1854,11,5,Allies,Russia,18000,36000,4240,??,#VALUE!,8770,??,#VALUE!,9,0.235555555555556,0.243611111111111
52,Tschernaja,1855,8,16,Allies,Russia,39360,63000,1750,??,#VALUE!,8270,??,#VALUE!,4,0.0444613821138211,0.131269841269841
53,Magenta,1859,6,4,Allies,Austria,48090,61620,3880,660,4540,5730,4500,10230,9,0.0806820544811811,0.0929892891918208
54,Solferino,1859,6,24,Allies,Austria,151200,133250,14420,2770,17190,13100,8640,21740,11.5,0.0953703703703704,0.0983114446529081
