"seqno","page","item","type","battle_name",,,,,,,"duration","winner_a","winner_b","loser_a","loser_b","winner_personnel","winner_main_ships","winner_other_ships","winner_cannon","loser_personnel","loser_main_ships","loser_other_ships","loser_cannon","winner_dead","winner_wounded","winner_bloody","winner_miapow","winner_losses","winner_main_ship_losses","winner_other_ship_loses","winner_cannon_losses","loser_dead","loser_wounded","loser_bloody","loser_miapow","loser_losses","loser_main_ship_losses","loser_other_ship_loses","loser_cannon_losses","winne_loss_fraction","loser_loss_fraction","winner_tbc_fraction","loser_tbc_fraction"
56,210,2,"Seetreffen","Kap Finisterre",1747,5,14,1747,5,14,1,"England",,"France",,7000,15,2,930,3000,6,8,524,,,600,0,600,0,0,0,,,900,1500,2400,5,7,448,0.0857142857,0.3,0.0857142857,0.8
57,212,4,"Seetreffen","Tortuga",1747,10,1,1747,10,1,1,"England",,"Spain",,3000,6,1,440,4200,7,0,500,,,200,,,0,0,0,,,300,0,300,1,0,60,0.0666666667,0.0714285714,,0.0714285714
58,213,1,"Seetreffen","Kap Finisterre",1747,10,25,1747,10,25,1,"England",,"France",,7000,14,3,950,4000,9,1,750,,,800,0,800,0,0,0,,,1100,2100,3200,6,,406,0.1142857143,0.275,0.1142857143,0.8
59,214,2,"Seetreffen","Menorca",1756,5,20,1756,5,20,1,"France",,"England",,6500,12,5,748,7000,12,6,948,,,220,0,220,0,0,0,,,210,0,210,0,0,0,0.0338461538,0.03,0.0338461538,0.03
60,223,4,"Seegefecht","Negapatam",1758,4,29,1758,4,29,1,"England",,"France",,3800,7,1,428,5000,7,4,584,,,120,,,0,0,0,,,520,,,1,0,50,0.0315789474,0.104,,
61,226,3,"Seetreffen","Negapatam",1758,8,3,1758,8,3,1,"England",,"France",,3500,7,1,428,4000,8,1,520,,,200,,,,,,,,900,,,,,,0.0571428571,0.225,,
62,233,1,"Seeschlacht","Lagos",1759,8,18,1759,8,18,1,"England",,"France",,12000,15,12,1368,7000,12,3,880,,,300,0,300,0,0,0,,,700,1400,2100,5,,366,0.025,0.1,0.025,0.3
63,234,2,"Seetreffen","Pondichery",1759,9,10,1759,9,10,1,"England",,"France",,5000,9,1,560,6000,11,2,788,,,600,,,,,,,,1400,,,,,,0.12,0.2333333333,,
64,236,3,"Seeschlacht","Quiberon",1759,11,20,1759,11,20,1,"England",,"France",,14000,27,6,2050,10000,21,4,1588,,,300,,,2,,148,,,1700,1300,3000,6,,444,0.0214285714,0.17,,0.3
65,238,1,"Seetreffen","Carrickfergus",1760,2,28,1760,2,28,1,"England",,"France",,700,3,0,104,1250,3,0,102,,,50,,,0,0,0,,,300,950,1250,3,0,102,0.0714285714,0.24,,1
66,251,2,"Seeschlacht","Tschesma (Chios)",1770,7,5,1770,7,5,1,"Russia",,"Turkey",,7000,10,12,900,10000,16,66,2000,,,500,0,500,1,0,80,,,8000,1000,9000,15,56,1900,0.0714285714,0.8,0.0714285714,0.9
67,256,1,"Seeschlacht","Ouessant",1778,7,27,1778,7,27,1,"France",,"England",,20000,32,9,2564,19000,30,14,2468,,,700,0,700,0,0,0,,,500,0,500,0,0,0,0.035,0.0263157895,0.035,0.0263157895
68,256,4,"Seeschlacht","Grenada",1779,7,6,1779,7,6,1,"France",,"England",,15000,25,12,1800,12000,21,1,1502,,,1000,,,,,,,,600,,,,,,0.0666666667,0.05,,
69,257,2,"Seeschlacht","Kap Sao Vicente",1780,1,16,1780,1,16,1,"England",,"Spain",,11000,19,0,1380,7000,11,2,800,,,400,0,400,0,0,0,,,1200,1400,2600,7,,500,0.0363636364,0.1714285714,0.0363636364,0.3714285714
70,258,1,"Seeschlacht","Santa Lucia",1780,4,17,1780,4,17,1,"France",,"England",,16000,23,5,1764,14000,20,6,1638,,,1000,,,,,,,,500,,,,,,0.0625,0.0357142857,,
71,259,1,"Seegefecht","Porto Praya",1781,4,16,1781,4,16,1,"England",,"France",,4000,5,19,764,3000,5,5,340,,,,,150,,,,,,,,310,,,,,,0.0375,0.1033333333
72,259,2,"Seeschlacht","Dogger-Bank",1781,8,5,1781,8,5,1,"Holland",,"England",,4000,7,10,686,4500,7,12,743,,,550,,,,,,,,,,500,,,,0.1375,,,0.1111111111
73,259,3,"Seetreffen","Chesapeake Bay",1781,9,5,1781,9,5,1,"France",,"England",,13000,24,0,1794,12000,20,6,1670,,,,,300,,,,,,,,350,,,,,,0.0230769231,0.0291666667
74,260,1,"Seetreffen","Saint Christopher",1782,1,25,1782,1,25,1,"England",,"France",,14000,22,8,1848,16000,29,0,2184,,,,,320,,,,,,,,320,,,,,,0.0228571429,0.02
75,260,3,"Seetreffen","Madras",1782,2,17,1782,2,17,1,"France",,"England",,6000,11,4,836,5000,9,1,586,,,,,120,,,,,,,,110,,,,,,0.02,0.022
76,260,4,"Seetreffen","Trincomalee (Proverdiern)",1782,4,12,1782,4,12,1,"France",,"England",,6000,12,0,770,5700,11,1,762,,,,,400,,,,,,,,600,,,,,,0.0666666667,0.1052631579
77,261,1,"Seeschlacht","Dominica (Saintes Inseln)",1782,4,12,1782,4,12,1,"England",,"France",,21000,36,9,2888,19000,34,0,2560,240,860,1100,0,1100,0,0,,1200,1800,3000,1500,4500,5,0,390,0.0523809524,0.1578947368,0.0523809524,0.2368421053
78,261,2,"Seetreffen","Negapatam",1782,7,6,1782,7,6,1,"England",,"France",,6000,12,0,780,6000,12,0,770,,,,,350,,,,,,,,1100,,,,,,0.0583333333,0.1833333333
79,261,3,"Seetreffen","Trincomalee",1782,9,3,1782,9,3,1,"France",,"England",,6500,15,0,958,5800,12,4,930,,,,,400,,,,,,,,340,,,,,,0.0615384615,0.0586206897
80,262,1,"Seetreffen","Gibraltar",1782,10,20,1782,10,20,1,"England",,"Spain","France",18000,32,0,2200,25000,44,0,3000,,,,,280,,,,,,,,400,,,,,,0.0155555556,0.016
81,262,4,"Seetreffen","Cudalore",1782,6,20,1782,6,20,1,"France",,"England",,8000,15,3,1082,9000,18,3,1274,,,500,,,,,,,,,,600,,,,0.0625,,,0.0666666667
82,263,4,"Seeschlacht","Hogland",1788,7,17,1788,7,17,1,"Sweden",,"Russia",,9000,15,11,1286,10000,17,16,1452,,,600,,,1,,60,,,1000,,,1,2,78,0.0666666667,0.1,,
83,264,2,"Seeschlacht","Gothland",1789,7,26,1789,7,26,1,"Russia",,"Sweden",,13000,21,10,1800,12000,21,9,1760,,,,,,,,,,,,,,,,,,,,
84,264,4,"Seeschlacht","Rotschensalm",1789,8,24,1789,8,24,1,"Russia",,"Sweden",,10000,8,99,1200,6000,5,40,600,,,600,,,,,,,,800,600,1400,0,20,260,0.06,0.1333333333,,0.2333333333
85,265,3,"Seetreffen","Fredrikshamm",1790,5,14,1790,5,14,1,"Sweden",,"Russia",,15000,27,239,2000,12000,8,92,1600,,,,,,,,,,,,,,,29,,,,,
86,265,4,"Seeschlacht","Reval",1790,5,14,1790,5,14,1,"Russia",,"Sweden",,6500,8,16,900,14000,22,30,2100,,,,,,,,,,,,,,3,,190,,,,
87,266,1,"Seeschlacht","Reval",1790,6,1,1790,6,1,1,"Russia",,"Sweden",,20000,30,18,2600,13000,21,10,1750,,,,,,,,,,,,,,,,,,,,
